Username,Comment
@beunique5050,"Bruh it's okay mbappe is new member to our squad so he is still adjusting to playing 11. And I also know that mbappe played the worst game ever but it's what it's. So next time it will uno's dros, Tres hala Madrid...🤍"
@funnyvalentined4c620,the jnix man
@sakshamsharma78,🧿🧿🧿
@deepaksattawan182,Anti jinx butten
@utsavsarkhel5812,Everyone trolls him but no one appreciates his ball knowledge.
@pritomtalukder8761,"bhai dont blame Mbappe ,blame yous midfield ."
@RouteRunners9809,BBC cb 💀
@kristopherdas8488,"Ho gya El Classico, haar gyi Madrid. Abhi uske alawa dosri teamo ka ya fir matcho ka bhi baat thoda kar le."
@bivhutibhusunmaiti1249,Madrid will win sixtupel
@sandid2470,flicki flacka got me choking on my food
@mandarbhale3154,Would've been totally a different game agar Vini n Mbappe chances finish karte
@PSahoo-i7f,Frankie and olmo really changed the second half ❤💙
@kangtheconqueror2540,For how long will u defend mbappe 😭😭 accept it he doesn't have the striker instincts that's why he was offside majority of times
@pankajbagchi-fu9id,Anti jinx circle 🎉⭕
@jayasinghrathod8683,Top notch analysis bhai.
@Songlofi143-b6s,0:58 flika faka😂😂
@tuhinmajumdar8718,Aur jinx kar vai
@kaze4328,Yaar tu Baal thik krke aa😭😭😭
@VAIBHAVSINGHMUSIC,"2:54 carlo ka yahi plan tha high line ke liye. Jab usne press conf me kaha tha "" youll see"" 
But Flick samajh gaya aur frenkie ko le aya second half me.
Game khatam ho gaya"
@mangalmeetei9882,Wapas se full match kese dekna h bhai
@21siam_24,Fliki-flaka 😂😂😂 1:02
@TheGameRoomZone,Khanbahadur
@ucantsm,"""With brain you can stop any physique, any power."" 🫡"
@yarsports,"Everyone talks about Mbappe was offside 8/9 all his fault  but no one
talks about those late passes Mbappe vini is fastest winger in the world when they have space to run  and they create opportunity 
but the delay of the ball they get in an offside trap. If midfield or backline player  release the ball a bit early they can  easily catch the ball before defence"
@oatmilll,Anti jinx button 😊
@JSO-l9p,Flicky faka 😂
@absolutlm10,LAMINE
@petergomeskolkata,"Ab yeh game ka 1000 video banega by 100 youtubers.. .move on, get a life bro.."
@FarhanAli-tz5kg,"Man claimed Madrid gonna hold balls, and easily win against Barca😂😂 Maybe in parallel universe😂"
@paritoshmishra9148,"Don’t forget Mbappe and Vini Jnr faked injuries not to represent their national team, just to prepare for El Clasico 😂😂😂"
@nirajtanti8618,Where to watch rematch?
@lordinferno2719,"Bhai hogaya, aur jinx maat kar pls"
@kaling1319,No Penalty No Party 🎉
@shreddedweeb21,Kitna Jinx krega BKL
@ng2577,Respect to your analysis. Ultimate kisine to game ko samjha warna har koi mbappe ki piche padhe he view kamane k liye.. ek or baat ancelotti har match me yehi tactics khilate he aj sirf Bellingham ko thoda or piche kar diya warna hamesa aisa hi khilata he. Vini ka speed bacha leti he madrid ko. 💙❤️
@nadimullahmeraj8911,Bro is trying hard to destroy our season
@abhishekchoubey6080,Mbappe is one of the fastest players .why couldn’t he stayed a step back from  the offside line ??he cud easily get the ball with his speed
@mr_j9207,"Madrid should have signed a proper no 9 like Haaland, instead of Mbappe. And a proper midfielder to replace Kroos.

Now either Mbappe has to adapt, which looks unlikely,
else Vini might have to go to get the best out of Mbappe.

Sacking Don Carlo changes nothing.
Which Coach will get the best out of these set of players?"
@rahulagarwal3506,"despite all the jinxes, Yash’s tactical understanding is too good"
@Elevate612,lewa BARCA side vini RM side mbappe ? 😜
@lohitdoley2392,Where to watch full game again?
@MadhurjyaDeka-jq5vu,Flicki Flaka I like that
@pendulumandraven9338,6-0-4 and we still dominated midfield like it was no-one's business
@shinchan1659,Vardrid 😭😭😭😭😭
@abhishekpangeni6978,Rona Dhona chal raha hein.
@sumitlaha1301,Bhai please matt bol dena ki Barça UCL jitne wala hein!😢
@Bilal-tk1lh,Flickball is the only ball jo Yash jinx king bhi jinx na krska🙋🏽‍♂️
@nature_editz,Double Anti-Jinx button 🔘 Like so we are not jinxed
@amirzeb4153,How to watch full game again ? . I want to watch
@omsankpal9216,"Itna stress mat le bhai, teri hairline piche khisak Rahi hai, season khatam hone tak ganja hojayega."
@suprashantkumar7331,Good to see you alive!
@kaling1319,Yash Muthiola
@us4575,blud still hasn't moved on 😭😭
@SheikhAraaf,"Yash really thinks he can defend mbappe for being offside that many times😂, and blame everything on Ancelotti....bhai Yash there's a thing called 'Scanning' or 'CHECKING YOUR SHOULDERS' and if you closely pay attention you will see Cubarsi & Martinez doing it but Mbappe doesn't even think about it.....Sirf is wajah se bande Mbappe pr chadd rhe hai...I really hope he improves his gameplay or the future is dark"
@Mahdiansari328,Flicki flacka 0:58 😅
@ayushgarg9253,Bro went crazy after that match 😂😂😂
@Bilal-tk1lh,Some people says: Mbappu is still offside.
@kangtheconqueror2540,Mbappe is finished
@purnendupalui9742,the right side is dead maybe playing fede as a rw  might be a solution
@Partha-aa,Flicki Flaka 🤣 0:58
@dipakmukherjee4898,Dil pa lag gaya 🤡💦
@mugiwara_mixi,I will only tell one thing.......mbappe and vini never work hard to win the ball back...u were literally playing 11 vs 9
@mdrumankhandhaka,bro are you ok
@qNightwing1,HANSI IS COOKING
@dhrubasaha9769,"In order to reverse jinx barca, yash actually jinxed madrid😂😂😂.."
@ViPeRJk,🧿🧿🧿
@kuo-kun7915,Bro has a phd in copiumdynamics
@Giyu68,We need more tactical analysis game like this..❤
@Picasso-00,Tiki- Taka❌Flicki-Flaka✅
@arindamkalita1912,Whole match rewatch kaha kare?
@apurvparashar,"Bro someone stop this Umar Akmal ki 69th copy... 
Babri Azam is crying he's not even in the team 
Btw 
Legends say Mbappe is still offside and Vini is still crying 😭😭😭😭😭"
@fahadyasar2571,Flicki-Flacka 🤣
@rohitkrishna22,STOP IT YASH
@shravanmisal6411,🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿
@iRonSide_610,604 💀💀
@dibyajneog,Not gonna lie..to me cubarsi look like yash
@theguy3888,Bro mbappe is overrated I've known this for atleast 2 years.
@PudaoKemprai-ik2hb,"Uno, dos, tres , quatro 👉 Offsidedrid💀"
@IndramaniYadav-r2o,Yash ki tatti ruk nahi rahi haarne k baad. To wo baar baar video bana k tatti karega youtube pe
@biswanathdutta3115,Mbappe ko bulau avi v offside pe khara ha 😂
@subhamaymodak1318,flicki flaka😂😂😂
@expertgaming4772,"Except madrid fans whole world will be laughing upon Vinicius having a ballon dor in his hands 😂😂😂, Worst ballon dor winner 🏆"
@omBHOYAR-s6q,Jinx jr
@SAYAN-7321,WE USED TO PRAY FOR DAYS LIKE THIS Visca Barca Visca Cataluña❤️💙
@soumyaghosh5915,Stop crying like vini 😂
@AnishKumarIITM,"Bhai 2-3 videos aur chahiye barcelona ki greatness analysis ke liye 

(I'm a madrid fan)"
@SAYAN-7321,YJR DON'T JINX OUR FAVOURITE CLUB 😢
@Prajwal_sg1,"Mbaape ka bad performance ko ""jinx"" karke aacha bananeka ninja technique 😂😂😂😂"
@RupinderSingh-gd3nh,Anti jinx 🧿🪬
@ITZSHAYARBUZZ,"Where i get the full match replay
?"
@aviral5124,flicky flaka 😂😂
@salilnaik8249,No 12th No Party💀
@aviral5124,Kab tak PTSD m rahega bhai ❤😂
@vishal9904,bhai match kha dek sktha hai ?
@salilnaik8249,Money cannot buy you talent.. La Masia > Your rigged UCLs
@subhanilbhaduri4598,"Spell used : anti jinx. effectiveness of this spell depends on the person casting the jinx. For opponents with higher jinxing power, increasing the number of likes increases the overall effectiveness of the spell."
@QUIZ_TIME__,Bhaiii purana match kha se dekhe
@omsd8088,Flicki Flacka 💀🐐🥶
@riisworld,Anti jinx 🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿
@salilnaik8249,"Madrid players are still in our backyard, as they were caught offside😅"
@DeepakDhariwal-ei8qt,Ek ladka jisko messi ne phel diya 😅😅😅
@admitthetruth,this is so satisfying...
@salilnaik8249,Calma Calma now jinxer 🤡
@Joyy_ffs,anti jinx button 🧿🪬🕉️☸️☮️☯️☪️🪯✝️☦️✡️🔯🕎⚛️
@r231_here,Where to watch full match highlights ?? Full 90 minutes video
@tysonnoruto,He underestimate german coach lol 😅
@dopamineregulator3417,"Points r valid no doubt, but I think it's time to change the coach, it sounds a little bit controversial but u have to accept the reality they failed to adapt in modern football"
@salilnaik8249,Barca ko jinx kartey kartey iski jindagi jinx ho gayi hai😅
@rohanthapa8013,"Bro is humiliating his own team and glorify barca more like barca are winning the league and the Champions league tomorrow😂
Chillout bhai itna toh Madrid ke player aor coach bhi soch nhi rahe hogaye jitna Yash bhai soch raha hai 😅"
@lijandauka27,Rumours say that Mbappe is afraid to sleep thinking he would be in an offside position
@krishnendude6739,Antijinx 😢
@rushgamer9616,Candle bro where are you??
@Quillandpoet,Stop calling him panoti. He works hard to give these analysis. Enjoy his work😊
@tysonnoruto,He is in coma now let him cry 😂
@PraveenAgrawalpka946,Everyone talked about yamal cubarsi pedri but but but when frenkie and almo arrived the whole game changed.....
@soulshadow5769,"Barca fans let's goo , we'll win Champions league and la liga too 
Visça Barca Forever ✨✨💙❤️💙❤️"
@Nitin07070,"Lamine Yamal posted ""On a mission"" on Instagram before Bayern game,
 After assisting vs. Bayern and scoring vs. Madrid, he posted ""Mission passed!""🥶"
@adityamaharshi2320,Milk this drama dry😂❤
@vaibhav31,"☪️🕋🛕🕉️✝️⛪🪯 Avengers assemble.....save Barca from this ""beech ki maang"" looking jinxer"
@kshitijpandey6514,"Stop it Yash                   
                       🕯
         🕯                       🕯
🕯                                        🕯       
               Anti jinx circle     
🕯                                         🕯

         🕯                         🕯
                         🕯"
@SuYaSH_077,CONGRATULATIONS TO REAL MADRID FOR WINNING THE TREBLE!!!
@akshat_j3575,His hairstyle is killing me 😭
@soulshadow5769,Mbappe needs Offside  Do'r tbh 😂
@soukarsamaity7814,if vini mbappe had converted the clear chances in 1st half we would praise madrid no doubt barca was great and clinical ancelotti tactically is not that good
@emotionaldamage1097,Real talk😭
@vaibhav31,"Stop it Yash                   
                       🕯
         🕯                       🕯
🕯                                        🕯       
               Anti jinx circle  
                   for barca  
🕯                                         🕯

         🕯                         🕯
                         🕯"
@YugPatel10,6:41 Thats What i am Tired Explaining to All Those Bayern and Madrid Fans When We Lost 8-2
@subhajithalder8601,Bro replay kaise dakte hey
@sangramlad-3922,What would have happened if Carvajal had played this game ? Can you give an answer to this question Yash ?
@pclucifer5806,Bhai bss kar jaaa
@Basnet-u9n,भाइ खाना खाने मत छोड्😀
@Jashan.singhh_,"Nice video Yash, nakhun kaatle bus."
@mashrurlam4814,"🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿
Save yourself from the jinx"
@pratiksedhain4290,Did you watch Nepal vs India in women saff championship yesterday ? game lasted for more than 170 mins
@fcb2463,"It's not just mbappes fault... getting caught offside....
The midfielders also has to take blame...mbappe is a fast player...so
The passes have to be well timed"
@PantheraGoat,"People say that Mbappe missed a lot of chances but looking at the stats mbappe just had 1 chance that is one shot in first half , Hansi Flick and that 17 yr old Defender fooled every Madrid fan into believing that they had a chance to win.
MADRID never really had any good chances coz 99% of them were offsides , 15 UCLS played how A GERMAN from  1940s wanted them to play.

Thanks MR Johan cruyff for LA MASIA."
@khemanshuthakur7207,"Lewandowski is barcelona side, vinicius is real madrid side.....Mbappe is offside😂😂"
@omsd8088,6-0-4 😂😂😂
@ayushsinghbhardwaj6858,Anti jinx button 👍
@vaibhav31,"🕯
         🕯                       🕯
🕯                                        🕯       
               Anti jinx circle   
                  for BARCA 
🕯                                         🕯

         🕯                         🕯
                         🕯
Bas kr bhai or bhi teams h europe m ......manchester united kl phir haari, kl liverpool vs arsnel bhi tha unko bhi jinx kr"
@nyden9790,"Replace inaki pena with ter stegen and scoreline would be different, the way pena stopped the shots and communicated with backline it made their offside more effective."
@PantheraGoat,"Belive it or not , Kompany did a better job than Don carlo."
@9es726,"Stop it Yash                   
                       🕯
         🕯                       🕯
🕯                                        🕯       
               Anti jinx circle     
🕯                                         🕯

         🕯                         🕯
                         🕯"
@dshun5573,Hogaya Bhai thikhe kitna jinx karoge
@captainsparrow5217,Anti jinx Barcelona button
@shihabffyt7269,"Firse chaat ne agaya

Match ke pehli din, bola tha na balak 
Kya karega,,le vai nanga kardiya😂"
@mojokicks09,"How is Madrid's off the ball movement so shit after so many seasons with Ancelotti is beyond me. Clueless pressing, midfield not compact, most basics of defending in modern football and Ancelotti can't do it. Same mistakes , same errors , Flick schooled Ancelotti. 
Madrid lost true , but not because of the quality of our players we lost because we were tactically and technically inferior. And that blame directly goes to ANCELOTTI"
@nyden9790,"There were not 4 in the barca backline, there was 1 backline."
@soumavoroy8147,Ek match pe do video???? Bhadwe jinxing ko dusra level pe le jana hai kya!!
@priyanshukumarbaith58,Bhai match kha dekha bta do mujhe bhi dekhna  visca Barca ❤
@Adityaxtx,Anti-Jinx Button 🙏🏼🙏🏼🧿🧿🧿🧿
@soulmax7,😂
@lijandauka27,Bro literally tried different tactics to jinx Barça but Flick's aura countered it
@kingwithoutanyfeaf8817,0:58 flicki flacka 😂😂
@kami_rayz,It's over for barca 😢
@shafiulshovon945,Wah yj bc
@tarungupta3756,🧿🧿🧿🧿🧿 Anti jinx button ✅
@sandeshacharya6258,"IF barca also won the next el classio with this dominance . then i would be the barca fan, dont you think don carlo will think something after this humilation."
@sayantanghosh5896,"One match 2 video😂😂
I like it🎉"
@PantheraGoat,"People say that Mbappe missed a lot of chances but looking at the stats mbappe just had 1 chance that is one shot in first half , Hansi Flick and that 17 yr old Defender fooled every Madrid fan into believing that they had a chance to win.
MADRID never really had any good chances coz 99% of them were offsides , 15 UCLS played how A GERMAN from  1940s wanted them to play.

Thanks MR Johan cruyff for LA MASIA."
@PantheraGoat,"People say that Mbappe missed a lot of chances but looking at the stats mbappe just had 1 chance that is one shot in first half , Hansi Flick and that 17 yr old Defender fooled every Madrid fan into believing that they had a chance to win.
MADRID never really had any good chances coz 99% of them were offsides , 15 UCLS played how A GERMAN from  1940s wanted them to play.

Thanks MR Johan cruyff for LA MASIA."
@abhishekmoondra7126,Got new word under 1 min : flicky faka
@nitinpatel1039,"Mbappe is not striker, this is where top stitker comes to party, Haaland has just 7 offside since he join city compared to mbappe 8 in one game, benzema never  caught into offside trap, due to striker instinct,Madrid shpuld get oshimen in winter if they are not confident about endrick starting for them"
@AkarshAnand-pi1do,Bc kitna yap krta hai....chup chaap baith.... Comeback hoga tb banaiyo video yrrr🥲
@YugPatel10,6-0 was Perfect Score
@saphal4109,react to Nepal vs india women saff championship
@michael_kaiser-b10m,jinx kadne ka tarika thoda offside hein🤓🤓
@shubhsrivatava777,Antijinx button ✅
@Krissi47,Bhay ko hazam nahi ho ra 😭😭
@pratyay9532,ANTI JINX Button 🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿🧿
@laminyamal19,Cubarsi is as talented as yamal❤
@Unfilertinsaan007,PEL DIYA 😂😂
@cashinvlogs7864,Bachu aache se bola kar thook nikal ke
@nayearalif4636,Bro jinxed his own team unknowingly
@Hasta3.14,Plz make one video Nepal vs India Saff women's championship 2024.
@Moye_Moye_shorts,It's Monday and mbappe is still offside with yash 😢😢
@CharlesDebronxOliveira,Wo vini on madrid  yamal on barca aur mbappe on  offside comment wale aate hi honge 😂
@armanulhaq1715,Flicky Flaka 🗣
@bkartik10,This video has came and Mbappe is still offside they saying 🐢
@TFxMiKeY,Anti JInx Button🗿🗿
@krishjourneysvlogs3064,Tiki Taka ❌ Flicki Flacka ✅
@Akshansh_Niranjan,"Haaland : 15 offsides in entire Premier League career.🤞🏼
Mbappe : 8 offsides in one game.💀"
@lakshmanmardi9667,Abhi adha season bhi par nhi hua hai...lets see ye rhythm kaha tak jata hai
@TrishantGelera,chup ho ja dalle
@Zylth69420,Mbappe goat ( greatest offsider of all time)
@deadone_69,"He failed to jinx a club, so now he's trying to jinx a manager's tactics 🙂visca el barca♥💙"
@tanvirahmed9091,"Where to watch full matches replay?
Can someone Tell ?"
@zaynoman6298,Flicki flacka 😂
@raghusharma5656,Fliki - filaka
@njkkop,Yash bhai madrid harne ka main reason tumhara jinx power hee justice for Ancelotti 😢😢
@swarnavo9554,Bas karde bhai kitna jinx karega 🙏🏻🙏🏻
@arif8190,Bro watched the game twice and saw Mbappe is still offside 😭
@aravxd5119,Kitna milk karega barca ki chaat chaat ke
@arish6538,"Asambhav , ek match ki dusri video 😱, match kar jinx 😔😔😔😔😔😔"
@rupak.10,Bro is using all of his power 😂
@krishjourneysvlogs3064,Once Yjr Said That Mbappe Ne Khudka Naam Bananese Pehle Khudka Meme Banva Liya 😭
@Zylth69420,Madrid defend 🃏
@luckyhandsome1526,Shant ho jha bsk. Btw barca🧿🧿🧿
@TheReallyOfficialAwe,bkl panauti lagata hai aur fir palat ta hai ;-; (barca fan btw)
@LuckySingh-jd5hz,Kick bsdka Carlo out of our f cking club 🤬
@arp14,Sources saying he's still offside .
@jakizizz,My favourite 5’3 nirlajh gay YouTuber with pink panties is back ❤
@IgaSwiatekFan-ox9rn,Offside ❌ Mbappe ✅
@user-pk1sg1ek4s,"Or roooo Bhai
Or b rotaa reh 😂😂😂😂"
@krrishasijaa2390,"Lamine was on barca side
Vini was on madrid side
Mbappe was offside"
@Skyontheyyy,"Bro really fell off 😔, even the REVERSE JINX from the last video didn’t work this time"
@Anandsingh35072,😂😂
@deactivated.things,Muthmar Jr. is so happy now
@areyoudumbonpurpose1822,"""How Barcelona destroyed Real Madrid""❌
""How Yash jinxed Real Madrid?""✅"
@psychoff3129,Guddi Tod denge bhai aage bhi
@Rohit.D.999,Abe Kitna royega bs kr 😅😂😂😂
@Nav0709,Koi na bro mbappe comeback krega
@armaantandon5712,School boys schooled Yash 🦦🤣
@TusharJadhav-no7yj,Dekho vo aagya
@thesoccersquad10,Abi bhi dard bhara nai bhai ka..
@cotrickff1673,Kylian membppe
@binanda_engti_kathar,I was waiting for this type of video in your channel for a very long time
@greenarrow9807,THE GALACTICOS 3.0😂🤡
@Zylth69420,We got wrong mbappe we need his brother
@prithviraj1317,Visca el barca
@YuvrajSinghup55,Are bhaiya firse 😂 Bus soch hi Raha tha aap video upload karoge abhi🔥
@arpanpaul9847,Tactical Review after so long Yash bhai❤
@VaibhavTiwari-nv9pp,0 views in 16 secs..bro fell off..
@shubhampathak1399,Bro is still in trauma😭😭
@SyedRayyan-se5nq,Manhoosiyat mat lga mere bhai 😭😭
@Rcgj1990,"Bhaine doosri video banayi. Shit is serious.
Bro's trying best to jinx.
Hae bhagwan bachana🙏"
@tejasrathod7233,Lmao flicki flacka
@lyricsnepal1064,First
@NurkCuler,Tactically That Game Was Real vs Bayern
@Gordonfreeman7722,Believe it or not HE'S STILL OFFSIDE!!!
@sahilpoudel9296,🥲🥲🥲
@soumyakantisinhaxl3074,"""Madrid will thrash Barca"" 😂"
@ShaziaAltaf-n5z,Puta Madrid
@Sohel1156,"Again video 😂😂
0 like plz"
@anshumanmorey5448,Panauti......
@creativeyt7273,Pani kha le vaai🥲
@uttkarshmishra4337,🫡
@dead23847,Still crying? Bro stop trying to jinx
@user-oo5nz3th5q,Okay
@MdNorullah-we8un,😂😂😂
@tsdamon6242,To phir agya?
@sohandam3234,😂😂
@hasanjoyaer175,1st
@harmanpreetsinghjagdeva8039,❤
